ticker,name,market,exchange,sector,industry,market_cap,cap
001210,Kumho Electric Inc.,KOSDAQ,KQ,기타,,0,SmallCap
001230,Dongkuk Steel Mill Co Ltd,KOSPI,KO,기타,,0,SmallCap
001250,GS Global Corp.,KOSDAQ,KQ,기타,,0,SmallCap
001260,Namkwang Engineering & Construction Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
001270,Bookook Sec,KOSPI,KO,기타,,0,SmallCap
001275,Bookook Securities Co Ltd,KOSPI,KO,기타,,0,SmallCap
001290,Golden Bridge Investment & Securities Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
001340,Paik Kwang Ind,KOSPI,KO,기타,,0,SmallCap
001360,Samsung Pharmaceutical Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
001380,SG Choongbang Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
001390,Kg Chemical,KOSPI,KO,기타,,0,SmallCap
001420,Tae Won Mulsan Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
001430,SeAH Besteel Corp.,KOSDAQ,KQ,기타,,0,SmallCap
001440,Taihan Electric Wire Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
001450,Hyundai Marine & Fire Insurance Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
001460,BYC Co. Ltd,KOSPI,KO,기타,,0,SmallCap
001465,BYC Co Ltd,KOSPI,KO,기타,,0,SmallCap
001500,Hyundai Motor Securities Co. Ltd.,KOSPI,KO,기타,,0,SmallCap
001510,Sk Securities,KOSPI,KO,기타,,0,SmallCap
001515,SK Securities Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,기타,,0,SmallCap
001520,Tongyang Inc.,KOSDAQ,KQ,기타,,0,SmallCap
001525,Tongyang Inc. Pfd. Series 1,KOSDAQ,KQ,기타,,0,SmallCap
001527,Tongyang Inc. Pfd. Series 2,KOSDAQ,KQ,기타,,0,SmallCap
001530,Dong-Il Corp.,KOSDAQ,KQ,기타,,0,SmallCap
001550,Cho Bi,KOSPI,KO,기타,,0,SmallCap
001560,Cheil Grinding,KOSPI,KO,기타,,0,SmallCap
001620,Dongkook Industrial Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
