ticker,name,market,cap,cap_label,cur,rs_2w,rs_6w,accel,ret_2w,vr,pct52,high52_date,above200,theme,pop_rank
083650,비에이치아이,KOSDAQ,3091343062500.0,LargeCap,56500.0,41.62,-12.05,53.67,40.2,1.5,-48.4,26.03.20,False,고체산화물 연료전지(SOFC),
126340,비나텍,KOSDAQ,1310123035200.0,LargeCap,76700.0,37.18,-25.26,62.44,35.75,0.77,-60.4,26.05.06,False,고체산화물 연료전지(SOFC),
059090,미코,KOSDAQ,720131565900.0,MidCap,19500.0,34.53,-4.79,39.32,33.11,0.67,-30.1,26.05.06,False,고체산화물 연료전지(SOFC),
036540,SFA반도체,KOSDAQ,1417647811860.0,LargeCap,6230.0,29.35,-6.42,35.77,27.93,0.98,-43.4,26.05.26,False,고체산화물 연료전지(SOFC),
017900,광전자,KOSPI,615942200690.0,MidCap,8710.0,69.25,-21.79,91.04,67.82,4.61,-51.0,26.04.15,False,마이크로 LED,
066570,LG전자,KOSPI,22119971354600.0,MegaCap,206500.0,28.81,-3.11,31.92,27.39,0.81,-47.4,26.06.02,False,마이크로 LED,6.0
089890,코세스,KOSDAQ,748811034300.0,MidCap,24450.0,25.54,-17.69,43.23,24.11,0.68,-51.6,26.05.04,False,마이크로 LED,
005930,삼성전자,KOSPI,1321258965408000.0,MegaCap,268000.0,3.52,-1.64,5.16,2.1,0.88,-26.1,26.06.18,False,마이크로 LED,1.0
007810,코리아써키트,KOSPI,2287941948000.0,LargeCap,66400.0,44.37,-39.9,84.27,42.95,1.16,-53.2,26.06.17,False,소캠(SOCAMM),
425420,티에프이,KOSDAQ,819852818400.0,MidCap,38600.0,33.39,-17.8,51.19,31.97,1.02,-48.1,26.05.06,False,소캠(SOCAMM),
033160,엠케이전자,KOSDAQ,665805819250.0,MidCap,17950.0,25.3,-25.75,51.05,23.88,1.6,-47.5,26.05.22,False,소캠(SOCAMM),
356860,티엘비,KOSDAQ,834790287000.0,MidCap,31200.0,19.61,-44.75,64.36,18.18,1.3,-76.3,26.05.26,False,소캠(SOCAMM),
353200,대덕전자,KOSPI,5702713145000.0,LargeCap,113000.0,18.16,-16.3,34.46,16.74,0.86,-40.8,26.05.29,False,소캠(SOCAMM),
323280,태성,KOSDAQ,2617104886000.0,LargeCap,51000.0,64.62,-10.08,74.7,63.2,1.64,-43.1,26.04.27,False,유리 기판,
204270,제이앤티씨,KOSDAQ,1147135080780.0,LargeCap,18370.0,40.07,7.94,32.13,38.64,0.7,-33.7,25.11.06,False,유리 기판,
009150,삼성전기,KOSPI,61771686592000.0,MegaCap,1503000.0,33.04,-22.15,55.19,31.61,0.84,-33.8,26.06.19,False,유리 기판,3.0
161580,필옵틱스,KOSDAQ,1156874889450.0,LargeCap,29900.0,26.01,-14.8,40.81,24.58,0.79,-52.5,26.05.06,False,유리 기판,
011790,SKC,KOSPI,4657800654000.0,LargeCap,89200.0,24.97,-16.57,41.54,23.55,0.52,-48.8,26.05.07,False,유리 기판,
