theme,n_large,rs_2w_avg,up_ratio,up_count,total
공기청정기,6,-5.3,66.7,4,6
귀금속(금/은),3,-5.3,66.7,2,3
모바일콘텐츠(스마트폰/태블릿PC),5,-5.79,20.0,1,5
자동차 대표주,7,-5.94,28.6,2,7
미용기기,7,-6.29,28.6,2,7
화장품,19,-6.31,47.4,9,19
음식료업종,16,-6.39,43.8,7,16
스테이블코인,7,-6.51,28.6,2,7
SI(시스템통합),9,-6.64,44.4,4,9
NFT(대체불가토큰),6,-6.73,33.3,2,6
오가노이드,3,-6.79,0.0,0,3
고령화 사회(노인복지),12,-6.91,41.7,5,12
원격진료/비대면진료(U-Healthcare),5,-7.02,40.0,2,5
겨울,8,-7.03,37.5,3,8
줄기세포,4,-7.16,25.0,1,4
제대혈,3,-7.2,33.3,1,3
웹툰,3,-7.52,33.3,1,3
리츠(REITs),6,-8.0,33.3,2,6
의료AI,4,-8.03,50.0,2,4
보톡스(보툴리눔톡신),3,-8.06,0.0,0,3
면역항암제,11,-8.16,18.2,2,11
클라우드 컴퓨팅,11,-8.18,27.3,3,11
탈모 치료,4,-8.2,0.0,0,4
드론(Drone),9,-8.36,33.3,3,9
은행,9,-8.4,44.4,4,9
손해보험,7,-8.45,14.3,1,7
생명보험,5,-8.66,20.0,1,5
UAM(도심항공모빌리티),15,-8.8,20.0,3,15
LED,8,-8.88,62.5,5,8
음성인식,3,-9.03,0.0,0,3
항공/저가 항공사(LCC),3,-9.04,0.0,0,3
해운,4,-9.49,25.0,1,4
전자결제(전자화폐),5,-10.01,20.0,1,5
핀테크(FinTech),8,-10.02,12.5,1,8
엔터테인먼트,4,-10.07,25.0,1,4
치매,14,-10.08,14.3,2,14
비만치료제,14,-10.19,21.4,3,14
인터넷은행,11,-10.28,18.2,2,11
양자암호/양자컴퓨팅,4,-10.36,25.0,1,4
모더나(MODERNA),3,-10.37,0.0,0,3
카카오뱅크(kakao BANK),4,-10.49,0.0,0,4
음원/음반,4,-10.5,25.0,1,4
바이오시밀러(복제 바이오의약품),11,-11.6,9.1,1,11
통신,3,-12.21,0.0,0,3
코로나19(진단키트),7,-12.61,0.0,0,7
코로나19(치료제/백신 개발 등),10,-12.63,10.0,1,10
코로나19(진단/치료제/백신 개발 등),18,-12.7,5.6,1,18
mRNA(메신저 리보핵산),5,-12.76,0.0,0,5
제약업체,21,-12.89,4.8,1,21
보안주(정보),3,-13.42,0.0,0,3
"백신/진단시약/방역(신종플루, AI 등)",11,-13.61,9.1,1,11
유전자 치료제/분석,9,-15.38,0.0,0,9
