ticker,name,market,sector,cur,rs,trend_ok,pattern_ok,signal,score,lgbm_score,reason,pivot,cup_depth,handle_depth,vol_ratio,cup_days,handle_days,pct_from_pivot,safety,watching
278470,에이피알,KOSPI,nan,385500.0,-95.0,False,False,False,0,,트렌드 미통과,,,,,,,,,
047810,한국항공우주,KOSPI,nan,146500.0,-141.2,False,False,False,0,,트렌드 미통과,,,,,,,,,
030200,KT,KOSPI,nan,53300.0,-163.8,False,False,False,0,,트렌드 미통과,,,,,,,,,
047040,대우건설,KOSPI,nan,21250.0,111.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
003550,LG,KOSPI,nan,108900.0,-128.8,False,False,False,0,,트렌드 미통과,,,,,,,,,
010950,S-Oil,KOSPI,nan,105300.0,-126.7,False,False,False,0,,트렌드 미통과,,,,,,,,,
047050,포스코인터내셔널,KOSPI,nan,55000.0,-166.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
011070,LG이노텍,KOSPI,nan,1000000.0,200.3,True,False,False,64,,패턴 미감지,,,,,,,,,
071050,한국금융지주,KOSPI,nan,231000.0,-117.9,False,False,False,0,,트렌드 미통과,,,,,,,,,
018260,삼성에스디에스,KOSPI,nan,212000.0,-126.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
259960,크래프톤,KOSPI,nan,241500.0,-172.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
006260,LS,KOSPI,nan,410000.0,-67.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
307950,현대오토에버,KOSPI,nan,662000.0,13.1,True,False,False,48,,패턴 미감지,,,,,,,,,
277810,레인보우로보틱스,KOSDAQ,nan,590000.0,-119.0,False,False,False,0,,트렌드 미통과,,,,,,,,,
005940,NH투자증권,KOSPI,nan,32000.0,-124.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
443060,HD현대마린솔루션,KOSPI,nan,225000.0,-143.9,False,False,False,0,,트렌드 미통과,,,,,,,,,
323410,카카오뱅크,KOSPI,nan,22150.0,-170.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
005830,DB손해보험,KOSPI,nan,144900.0,-158.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
039490,키움증권,KOSPI,nan,346000.0,-136.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
352820,하이브,KOSPI,nan,223500.0,-191.4,False,False,False,0,,트렌드 미통과,,,,,,,,,
007660,이수페타시스,KOSPI,nan,115100.0,-121.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
028050,삼성E&A,KOSPI,nan,48650.0,-85.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
000250,삼천당제약,KOSDAQ,nan,253500.0,-169.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
003230,삼양식품,KOSPI,nan,1000000.0,-161.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
016360,삼성증권,KOSPI,nan,118900.0,-111.1,True,False,False,32,,패턴 미감지,,,,,,,,,
001440,대한전선,KOSPI,nan,38250.0,-75.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
267270,HD건설기계,KOSPI,nan,136700.0,-127.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
000880,한화,KOSPI,nan,115200.0,-144.4,False,False,False,0,,트렌드 미통과,,,,,,,,,
003490,대한항공,KOSPI,nan,27950.0,-142.6,True,True,False,58,,대기중(피벗미돌파),30000.0,20.0,6.8,2.33,223.0,5.0,-6.8,safe,True
950160,코오롱티슈진,KOSDAQ,nan,102100.0,-95.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
005387,현대차2우B,KOSPI,nan,241000.0,-142.6,False,False,False,0,,트렌드 미통과,,,,,,,,,
058470,리노공업,KOSDAQ GLOBAL,nan,92600.0,-124.8,False,False,False,0,,트렌드 미통과,,,,,,,,,
066970,엘앤에프,KOSPI,nan,128600.0,-101.0,False,False,False,0,,트렌드 미통과,,,,,,,,,
028300,HLB,KOSDAQ,nan,48100.0,-160.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
090430,아모레퍼시픽,KOSPI,nan,104600.0,-180.9,False,False,False,0,,트렌드 미통과,,,,,,,,,
009830,한화솔루션,KOSPI,nan,38050.0,-152.7,False,False,False,0,,트렌드 미통과,,,,,,,,,
326030,SK바이오팜,KOSPI,nan,87000.0,-178.4,False,False,False,0,,트렌드 미통과,,,,,,,,,
298380,에이비엘바이오,KOSDAQ,nan,99100.0,-185.6,False,False,False,0,,트렌드 미통과,,,,,,,,,
377300,카카오페이,KOSPI,nan,44000.0,-181.2,False,False,False,0,,트렌드 미통과,,,,,,,,,
078930,GS,KOSPI,nan,70000.0,-133.0,False,False,False,0,,트렌드 미통과,,,,,,,,,
161390,한국타이어앤테크놀로지,KOSPI,nan,66700.0,-124.4,True,False,False,32,,패턴 미감지,,,,,,,,,
180640,한진칼,KOSPI,nan,121100.0,-162.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
000100,유한양행,KOSPI,nan,76100.0,-190.9,False,False,False,0,,트렌드 미통과,,,,,,,,,
052690,한전기술,KOSPI,nan,123700.0,-145.4,False,False,False,0,,트렌드 미통과,,,,,,,,,
082740,한화엔진,KOSPI,nan,61000.0,-113.7,False,False,False,0,,트렌드 미통과,,,,,,,,,
141080,리가켐바이오,KOSDAQ GLOBAL,nan,134600.0,-178.6,False,False,False,0,,트렌드 미통과,,,,,,,,,
241560,두산밥캣,KOSPI,nan,65300.0,-148.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
010060,OCI홀딩스,KOSPI,nan,256500.0,-40.9,False,False,False,0,,트렌드 미통과,,,,,,,,,
032640,LG유플러스,KOSPI,nan,14710.0,-161.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
062040,산일전기,KOSPI,nan,235500.0,-54.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
000990,DB하이텍,KOSPI,nan,156100.0,-4.2,True,False,False,32,,패턴 미감지,,,,,,,,,
001040,CJ,KOSPI,nan,178200.0,-163.0,False,False,False,0,,트렌드 미통과,,,,,,,,,
454910,두산로보틱스,KOSPI,nan,101800.0,-119.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
064400,LG씨엔에스,KOSPI,nan,85800.0,-125.0,False,False,False,0,,트렌드 미통과,,,,,,,,,
039030,이오테크닉스,KOSDAQ GLOBAL,nan,498500.0,-60.8,True,False,False,32,,패턴 미감지,,,,,,,,,
087010,펩트론,KOSDAQ,nan,204500.0,-185.4,False,False,False,0,,트렌드 미통과,,,,,,,,,
034220,LG디스플레이,KOSPI,nan,13570.0,-139.8,False,False,False,0,,트렌드 미통과,,,,,,,,,
128940,한미약품,KOSPI,nan,411000.0,-158.7,False,False,False,0,,트렌드 미통과,,,,,,,,,
021240,코웨이,KOSPI,nan,87400.0,-157.6,False,False,False,0,,트렌드 미통과,,,,,,,,,
029780,삼성카드,KOSPI,nan,49550.0,-170.4,False,False,False,0,,트렌드 미통과,,,,,,,,,
004020,현대제철,KOSPI,nan,32750.0,-163.7,False,False,False,0,,트렌드 미통과,,,,,,,,,
005385,현대차우,KOSPI,nan,243000.0,-140.4,False,False,False,0,,트렌드 미통과,,,,,,,,,
036570,NC,KOSPI,nan,277000.0,-122.9,True,False,False,32,,패턴 미감지,,,,,,,,,
240810,원익IPS,KOSDAQ GLOBAL,nan,156000.0,49.3,True,False,False,64,,패턴 미감지,,,,,,,,,
450080,에코프로머티,KOSPI,nan,53100.0,-163.6,False,False,False,0,,트렌드 미통과,,,,,,,,,
138930,BNK금융지주,KOSPI,nan,17740.0,-144.9,False,False,False,0,,트렌드 미통과,,,,,,,,,
036930,주성엔지니어링,KOSDAQ GLOBAL,nan,193100.0,263.4,True,False,False,64,,패턴 미감지,,,,,,,,,
271560,오리온,KOSPI,nan,134000.0,-145.2,False,False,False,0,,트렌드 미통과,,,,,,,,,
