date,ticker,name,market,sector,cap,entry,pivot,cup_depth,handle_depth,cup_days,handle_days,cup_start,cup_end,vol_ratio,vs,rs,score,r1,r3,r5,r10,r15,r20,r30,r40,r50,r60
2011-04-26,053060,Saedong Co.Ltd,KOSDAQ,기타,SmallCap,3085.0007,3160.0,30.2,9.8,120,7,2010-10-25,2011-04-18,0.68,False,0.0,47,-1.13,7.29,26.42,9.72,-20.1,-23.66,-19.94,-19.94,-13.61,-12.64
2012-11-30,053060,Saedong Co.Ltd,KOSDAQ,기타,SmallCap,3395.0008,3465.0,19.9,12.3,120,5,2012-06-05,2012-11-26,7.98,True,0.0,59,6.04,10.46,21.8,35.79,-0.15,11.78,13.11,5.74,20.03,13.11
2009-09-01,030200,KT Corporation,KOSPI,기타,SmallCap,39400.0,40600.0,16.2,7.9,159,16,2008-12-22,2009-08-11,0.75,False,-25.1,43,-0.51,1.78,-0.89,2.92,2.28,2.16,0.63,0.0,0.25,0.63
2009-09-03,030200,KT Corporation,KOSPI,기타,SmallCap,39900.0,40600.0,16.2,7.9,159,18,2008-12-22,2009-08-11,0.64,False,-22.9,43,0.5,-2.13,-1.5,2.51,0.75,1.75,0.25,-2.51,-1.25,-3.38
2009-09-04,030200,KT Corporation,KOSPI,기타,SmallCap,40100.0,40600.0,16.2,7.9,159,19,2008-12-22,2009-08-11,0.77,False,-21.0,43,-1.75,-2.62,-0.37,2.37,-1.0,0.12,-0.62,-3.49,-2.0,-3.99
2009-09-07,030200,KT Corporation,KOSPI,기타,SmallCap,39400.0,40600.0,16.2,7.9,159,20,2008-12-22,2009-08-11,0.79,False,-20.2,43,-0.89,-0.25,3.17,3.43,1.14,2.28,1.52,-0.76,-0.13,-2.03
2010-01-06,030200,KT Corporation,KOSPI,기타,SmallCap,41450.0,41450.0,17.5,5.7,186,13,2009-03-26,2009-12-16,1.63,True,-17.2,43,2.41,7.6,6.27,17.49,22.07,15.8,12.91,4.95,12.67,10.25
2024-10-04,030200,KT Corporation,KOSPI,기타,SmallCap,40800.0,42050.0,21.1,5.5,141,11,2024-02-19,2024-09-13,1.22,False,19.9,71,0.61,-1.23,0.25,5.27,7.23,8.09,2.45,20.1,13.85,7.72
2024-10-07,030200,KT Corporation,KOSPI,기타,SmallCap,41050.0,42050.0,21.1,5.5,141,12,2024-02-19,2024-09-13,1.07,False,20.3,71,-2.19,-2.07,-0.12,7.19,6.58,4.87,1.71,18.51,11.45,8.4
2024-10-14,030200,KT Corporation,KOSPI,기타,SmallCap,40900.0,42050.0,21.1,5.5,141,16,2024-02-19,2024-09-13,0.75,False,22.3,71,0.24,4.65,5.01,6.97,7.82,8.56,9.54,8.31,11.74,10.02
2024-10-15,030200,KT Corporation,KOSPI,기타,SmallCap,41000.0,42050.0,21.1,5.5,141,17,2024-02-19,2024-09-13,0.75,False,21.8,71,4.15,4.63,7.32,6.71,5.0,6.1,10.98,6.95,12.44,7.8
2024-11-20,030200,KT Corporation,KOSPI,기타,SmallCap,43300.0,44400.0,21.1,7.3,176,8,2024-02-19,2024-11-11,1.28,False,26.0,79,1.62,3.46,9.93,10.51,3.0,5.77,2.08,6.35,4.73,9.01
2024-11-21,030200,KT Corporation,KOSPI,기타,SmallCap,44000.0,44400.0,21.1,7.3,176,9,2024-02-19,2024-11-11,1.2,False,26.7,79,1.14,3.41,11.02,8.41,0.57,2.16,-0.34,4.55,4.2,9.09
2018-03-13,006910,Bosung Power Technology Co. Ltd,KOSDAQ,기타,SmallCap,3260.0,3345.0,19.4,9.9,184,14,2017-05-22,2018-02-21,0.74,False,-35.7,43,0.77,-3.53,9.51,1.84,1.23,-3.68,33.9,49.08,24.85,32.82
2018-03-14,006910,Bosung Power Technology Co. Ltd,KOSDAQ,기타,SmallCap,3285.0,3345.0,19.4,9.9,184,15,2017-05-22,2018-02-21,0.45,False,-31.7,43,-1.37,-0.3,0.61,0.46,-3.2,-2.13,26.94,49.77,53.12,31.51
2018-03-19,006910,Bosung Power Technology Co. Ltd,KOSDAQ,기타,SmallCap,3275.0,3345.0,21.8,9.9,177,18,2017-05-31,2018-02-21,0.36,False,-25.7,47,9.01,1.98,-3.82,0.0,-3.05,2.9,39.24,64.58,36.49,14.35
2012-03-06,089010,CHEMTRONICS.CO.Ltd,KOSDAQ,기타,SmallCap,14550.0076,14900.0,40.5,9.1,137,11,2011-08-02,2012-02-20,0.8,False,0.0,40,2.75,5.15,5.15,-2.41,-6.53,-11.68,-16.15,-23.37,-27.15,-31.55
2022-09-22,356860,TLB Co. Ltd.,KOSDAQ,기타,SmallCap,42400.0,43700.0,20.5,6.2,86,15,2022-04-27,2022-08-31,0.81,False,28.7,79,-10.61,-16.98,-24.41,-11.2,-14.62,-17.81,-1.3,-45.28,-50.0,-54.95
2023-12-13,356860,TLB Co. Ltd.,KOSDAQ,기타,SmallCap,26600.0,26600.0,15.7,7.5,114,10,2023-06-15,2023-11-30,0.74,False,15.6,67,0.75,1.5,-0.38,14.85,11.28,6.02,1.88,-2.63,-12.78,-1.13
2026-03-25,356860,TLB Co. Ltd.,KOSDAQ,기타,SmallCap,78500.0,79800.0,34.3,7.9,98,5,2025-10-23,2026-03-19,2.2,True,99.2,90,-5.22,-14.9,,,,,,,,
2019-03-12,102940,Kolon Life Science Inc,KOSDAQ,기타,SmallCap,89300.0,90400.0,26.1,5.2,117,7,2018-09-04,2019-03-04,1.56,True,14.4,63,-1.12,-2.13,-4.26,-10.86,-46.86,-50.78,-51.46,-63.27,-70.1,-74.69
2019-03-13,102940,Kolon Life Science Inc,KOSDAQ,기타,SmallCap,88300.0,90400.0,26.1,5.2,117,8,2018-09-04,2019-03-04,1.32,False,13.3,63,-0.34,-3.28,-4.19,-13.36,-43.37,-48.98,-53.0,-63.76,-69.37,-74.29
2019-03-14,102940,Kolon Life Science Inc,KOSDAQ,기타,SmallCap,88000.0,90400.0,26.1,5.2,117,9,2018-09-04,2019-03-04,1.59,True,15.1,71,-0.68,-2.84,-7.84,-14.55,-45.0,-45.34,-52.67,-65.68,-67.9,-73.92
2010-08-17,052710,Amotech Co. Ltd,KOSDAQ,기타,SmallCap,8499.9919,8680.0,20.4,9.6,154,10,2009-12-21,2010-08-04,0.62,False,0.0,47,0.82,-4.0,-5.18,-11.18,-7.18,-7.53,-11.88,-10.35,-4.0,-12.82
2010-08-18,052710,Amotech Co. Ltd,KOSDAQ,기타,SmallCap,8569.9918,8680.0,20.4,9.6,154,11,2009-12-21,2010-08-04,0.77,False,0.0,47,-2.22,-4.78,-6.42,-11.32,-10.15,-10.27,-11.67,-9.68,-7.12,-13.89
2012-04-26,052710,Amotech Co. Ltd,KOSDAQ,기타,SmallCap,5449.9948,5590.0,41.6,7.0,187,6,2011-07-20,2012-04-19,1.08,False,0.0,40,0.73,0.0,3.3,12.29,-5.14,0.55,-3.3,-5.32,6.61,24.4
2012-04-27,052710,Amotech Co. Ltd,KOSDAQ,기타,SmallCap,5489.9948,5590.0,41.6,7.0,187,7,2011-07-20,2012-04-19,1.1,False,0.0,40,-2.55,0.36,2.73,11.66,-5.83,9.29,-2.37,-8.01,5.28,19.49
2012-05-02,052710,Amotech Co. Ltd,KOSDAQ,기타,SmallCap,5449.9948,5590.0,41.6,7.0,187,9,2011-07-20,2012-04-19,1.14,False,0.0,40,1.1,3.49,4.77,-0.18,-1.83,9.54,-5.14,-3.67,13.03,27.16
2012-05-03,052710,Amotech Co. Ltd,KOSDAQ,기타,SmallCap,5509.9947,5590.0,41.6,7.0,187,10,2011-07-20,2012-04-19,1.16,False,0.0,40,2.18,3.81,8.89,1.63,-0.73,8.89,-5.44,-3.27,16.33,27.59
2020-07-23,052710,Amotech Co. Ltd,KOSDAQ,기타,SmallCap,32649.9689,33000.0,48.3,6.5,139,9,2019-12-18,2020-07-13,0.57,False,18.1,64,-4.75,-1.53,4.44,3.52,-4.29,-10.57,8.42,-4.9,-0.92,-9.04
2020-07-28,052710,Amotech Co. Ltd,KOSDAQ,기타,SmallCap,32149.9693,33000.0,48.3,6.5,139,12,2019-12-18,2020-07-13,0.75,False,13.3,56,-0.31,4.2,5.44,3.89,-5.6,-11.04,5.44,-7.15,4.04,-8.71
2020-07-29,052710,Amotech Co. Ltd,KOSDAQ,기타,SmallCap,32049.9694,33000.0,48.3,6.5,139,13,2019-12-18,2020-07-13,0.77,False,15.0,64,6.4,6.71,5.93,0.94,-11.7,-10.92,9.98,-9.36,1.4,-6.86
2009-12-01,023160,Tae Kwang Corporation,KOSDAQ,기타,SmallCap,37649.9955,38600.0,22.8,8.0,161,5,2009-04-09,2009-11-25,1.44,True,0.0,47,2.12,3.05,0.66,1.46,0.93,-8.37,3.59,-18.46,-15.27,-17.0
2009-12-02,023160,Tae Kwang Corporation,KOSDAQ,기타,SmallCap,38449.9953,38600.0,22.8,8.0,161,6,2009-04-09,2009-11-25,1.28,False,0.0,47,0.0,0.65,-3.25,-0.65,-2.47,-4.55,-1.69,-18.86,-14.43,-18.34
