ticker,name,sector,market,cap,cur,rs_4w,rs_12w,vr,pct52,above200
111110,호전실업,Consumer Cyclical,KOSPI,SmallCap,7870.0,-14.99,-36.39,1.8,-13.9,True
111380,동인기연,Consumer Cyclical,KOSPI,SmallCap,14500.0,-18.23,-35.74,0.81,-18.6,True
111710,남화산업,기타,KOSDAQ,nan,4200.0,-18.59,-36.94,1.3,-21.1,False
111770,영원무역,Consumer Cyclical,KOSPI,LargeCap,82900.0,-19.98,-38.85,1.08,-15.4,True
112190,KC산업,기타,KOSPI,nan,1305.0,-20.39,-11.42,0.99,-34.8,False
112290,와이씨켐,기타,KOSDAQ,nan,14050.0,-92.68,-109.88,2.62,-75.0,False
112610,씨에스윈드,Industrials,KOSPI,LargeCap,71600.0,-30.88,45.23,0.72,-6.9,True
114090,GKL,Consumer Cyclical,KOSPI,MidCap,12060.0,-17.45,-42.68,1.4,-31.0,False
114840,아이패밀리에스씨,기타,KOSDAQ,nan,10800.0,-25.9,-70.3,1.44,-60.0,False
114920,대주이엔티,기타,KOSPI,nan,2830.0,-31.64,-31.41,2.94,-16.3,True
117580,대성에너지,Utilities,KOSPI,MidCap,9190.0,-31.54,-21.97,0.55,-36.1,True
117730,티로보틱스,기타,KOSDAQ,nan,22700.0,1.84,-41.84,1.97,-21.2,True
120030,조선선재,Industrials,KOSPI,SmallCap,101200.0,-21.25,-37.12,1.55,-23.0,False
120110,코오롱인더,Basic Materials,KOSPI,LargeCap,94100.0,-8.39,40.46,1.57,-6.7,True
120115,코오롱인더우,Basic Materials,KOSDAQ,MidCap,30350.0,-18.06,-20.69,1.88,-7.2,True
122310,제노레이,기타,KOSDAQ,nan,4620.0,-16.55,-25.15,0.31,-21.8,False
122830,원포유,기타,KOSPI,nan,1246.0,-43.06,-64.26,1.9,-50.9,False
122900,아이마켓코리아,Industrials,KOSPI,MidCap,7600.0,-21.29,-41.22,1.08,-11.5,False
123690,한국화장품,Consumer Defensive,KOSDAQ,SmallCap,8890.0,-10.45,-50.35,3.37,-30.3,False
123700,SJM,Consumer Cyclical,KOSPI,SmallCap,3835.0,-16.72,-31.77,1.79,-4.1,True
123890,한국자산신탁,Real Estate,KOSPI,MidCap,2655.0,-20.28,-34.71,1.12,-12.2,True
124560,태웅로직스,기타,KOSDAQ,nan,2615.0,-25.31,-36.46,0.8,-24.4,False
125210,아모그린텍,기타,KOSDAQ,nan,15860.0,68.72,87.22,1.0,0.0,True
126340,비나텍,기타,KOSDAQ,nan,175600.0,23.57,41.4,1.47,-4.3,True
126560,현대퓨처넷,Communication Services,KOSPI,MidCap,3345.0,-22.78,-33.7,0.75,-8.4,True
126720,수산인더스트리,Industrials,KOSPI,MidCap,34050.0,-2.17,5.95,1.37,-1.0,True
127980,화인써키트,기타,KOSPI,nan,7010.0,16.21,-8.56,1.59,0.0,True
128540,에코캡,기타,KOSDAQ,nan,1895.0,-17.17,-57.46,1.0,-33.4,True
128820,대성산업,Energy,KOSPI,MidCap,7080.0,-17.52,-52.63,1.03,-40.1,True
128940,한미약품,Healthcare,KOSPI,LargeCap,460000.0,-33.26,-38.92,0.98,-26.5,True
129260,인터지스,Industrials,KOSDAQ,SmallCap,2525.0,-19.22,-31.11,1.45,-27.3,False
129890,앱코,기타,KOSDAQ,nan,1099.0,-5.44,-14.76,0.44,-17.2,True
129920,대성하이텍,기타,KOSDAQ,nan,10640.0,-49.17,82.64,0.88,-27.6,True
130660,한전산업,Utilities,KOSDAQ,MidCap,20100.0,-15.81,17.79,1.0,-21.6,True
133820,화인베스틸,Basic Materials,KOSDAQ,SmallCap,1700.0,15.24,-38.93,1.72,-37.0,True
134380,미원화학,Basic Materials,KOSDAQ,MidCap,12820.0,-112.15,-127.27,0.64,-89.3,False
136410,아셈스,기타,KOSDAQ,nan,7370.0,-19.15,-53.67,0.86,-39.4,False
136490,선진,Consumer Defensive,KOSPI,MidCap,10720.0,-16.68,-37.98,1.08,-28.1,False
136660,큐엠씨,기타,KOSPI,nan,2000.0,4.1,-25.45,0.3,-20.0,True
137080,나래나노텍,기타,KOSDAQ,nan,5980.0,-10.3,-21.53,0.89,-2.4,True
137310,에스디바이오센서,Healthcare,KOSPI,LargeCap,8420.0,-11.27,-41.41,0.56,-30.2,False
138040,메리츠금융지주,Financial Services,KOSPI,MegaCap,111700.0,-24.52,-42.28,1.0,-23.6,False
138490,Kolon Plastics,Basic Materials,KOSPI,MidCap,15000.0,6.73,53.31,0.0,-2.5,True
138930,BNK금융지주,Financial Services,KOSPI,LargeCap,18730.0,-17.57,-23.7,0.86,-17.3,True
139130,iM금융지주,Financial Services,KOSPI,LargeCap,19100.0,-9.28,-13.15,0.83,-11.8,True
139480,이마트,Consumer Defensive,KOSPI,LargeCap,106700.0,-5.7,-16.58,1.03,-16.4,True
139990,아주스틸,Basic Materials,KOSPI,SmallCap,3800.0,-0.61,-14.84,3.45,-14.6,True
140070,서플러스글로벌,기타,KOSPI,nan,2610.0,14.91,-9.48,1.43,-1.1,True
140610,엔솔바이오사이언스,기타,KOSPI,nan,13780.0,-25.23,-28.71,1.02,-61.8,False
140660,위월드,기타,KOSPI,nan,1020.0,-48.92,-52.25,0.85,-50.1,False
140670,알에스오토메이션,기타,KOSDAQ,nan,16780.0,-16.08,-60.45,1.46,-38.3,True
144960,뉴파워프라즈마,기타,KOSDAQ,nan,6760.0,8.56,-24.0,1.11,-1.3,True
145720,덴티움,Healthcare,KOSPI,MidCap,53300.0,-19.48,-21.8,0.83,-30.9,False
145990,삼양사,Consumer Defensive,KOSPI,MidCap,48200.0,-17.71,-35.95,0.93,-18.6,False
145995,삼양사우,Consumer Defensive,KOSPI,MidCap,33950.0,-22.19,-45.17,0.66,-14.7,False
146320,비씨엔씨,기타,KOSDAQ,nan,17850.0,14.6,-15.58,1.65,-0.8,True
147760,피엠티,기타,KOSDAQ,nan,6980.0,91.11,49.46,2.39,-5.7,True
148150,세경하이테크,기타,KOSDAQ,nan,4790.0,-17.78,-37.42,0.73,-43.7,False
148780,비큐AI,기타,KOSDAQ,nan,1285.0,-9.26,-53.16,1.7,-54.4,False
148930,에이치와이티씨,기타,KOSDAQ,nan,3195.0,-10.69,-33.01,0.7,-23.4,False
149010,아이케이세미콘,기타,KOSPI,nan,4890.0,-7.13,-15.52,1.38,-27.8,False
153710,옵티팜,기타,KOSDAQ,nan,5190.0,-22.42,-40.59,0.58,-16.3,True
154030,아시아종묘,기타,KOSDAQ,nan,2050.0,-19.66,-35.43,0.82,-26.8,False
155660,DSR,Consumer Cyclical,KOSDAQ,SmallCap,4505.0,-17.49,-20.1,1.03,-2.1,True
156100,엘앤케이바이오,기타,KOSPI,nan,7310.0,-30.03,-88.98,1.02,-54.0,False
158430,아톤,기타,KOSDAQ,nan,8010.0,14.11,-26.33,0.32,-37.0,True
159010,아스플로,기타,KOSDAQ,nan,10590.0,59.86,64.29,1.97,-3.1,True
161000,애경케미칼,Basic Materials,KOSPI,MidCap,15530.0,-13.38,18.03,0.53,-18.7,True
161390,한국타이어앤테크놀로지,Consumer Cyclical,KOSPI,LargeCap,59200.0,-10.14,-42.09,0.91,-22.0,True
161580,필옵틱스,기타,KOSPI,nan,47800.0,3.65,-47.4,0.98,-16.6,True
161890,한국콜마,Consumer Defensive,KOSPI,LargeCap,88700.0,-7.43,-5.62,1.13,-18.8,True
162120,루켄테크놀러지스,기타,KOSPI,nan,3145.0,-23.34,-9.28,1.45,-13.7,True
162300,신스틸,기타,KOSPI,nan,2050.0,2.55,-15.9,2.1,-15.5,True
163560,동일고무벨트,Consumer Cyclical,KOSDAQ,SmallCap,7540.0,-15.81,-27.83,0.15,-5.0,True
163730,핑거,기타,KOSDAQ,nan,18950.0,79.55,22.09,0.63,-8.7,True
168360,펨트론,기타,KOSPI,nan,25800.0,6.78,12.14,1.55,-18.2,True
169330,엠브레인,기타,KOSDAQ,nan,2160.0,-15.45,-27.39,0.98,-7.7,True
169670,코스텍시스템,기타,KOSPI,nan,4100.0,-17.21,-62.26,1.23,-62.7,False
170900,동아에스티,Healthcare,KOSPI,MidCap,44300.0,-22.03,-54.77,1.38,-23.4,False
173130,오파스넷,기타,KOSPI,nan,7670.0,-19.49,-20.32,1.13,-14.4,True
175330,JB금융지주,Financial Services,KOSPI,LargeCap,27300.0,-30.5,-29.52,1.26,-27.2,True
176590,코나솔,기타,KOSPI,nan,2900.0,-25.1,-54.79,1.83,-58.6,False
176750,듀켐바이오,기타,KOSPI,nan,9040.0,-22.42,-50.41,0.92,-23.3,False
178600,대동고려삼,기타,KOSPI,nan,1975.0,-31.22,-32.94,1.82,-30.3,False
178920,PI첨단소재,Basic Materials,KOSPI,MidCap,25750.0,-3.38,24.94,1.1,-3.4,True
179290,엠아이텍,기타,KOSDAQ,nan,6530.0,-26.53,-46.35,1.06,-22.7,False
179530,애드바이오텍,기타,KOSDAQ,nan,2485.0,-43.83,14.94,0.38,-45.8,False
179720,머니무브,기타,KOSPI,nan,9980.0,-46.06,-30.91,1.28,-25.0,True
180060,탑선,기타,KOSPI,nan,8790.0,-31.89,-7.77,0.67,-15.5,True
180640,한진칼,Consumer Cyclical,KOSPI,LargeCap,112700.0,-20.5,-35.52,0.81,-34.9,False
18064K,Hanjin Kal,Consumer Cyclical,KOSPI,LargeCap,33000.0,-17.54,-49.54,1.11,-34.7,False
181710,NHN,Communication Services,KOSPI,LargeCap,41000.0,-11.2,-5.16,0.65,-6.2,True
183190,아세아시멘트,Basic Materials,KOSPI,MidCap,11730.0,-12.17,-43.28,0.7,-20.4,False
185750,종근당,Healthcare,KOSPI,LargeCap,85700.0,-26.82,-35.15,0.96,-12.3,True
186230,그린플러스,기타,KOSDAQ,nan,4545.0,-23.77,-48.3,0.77,-45.8,False
187660,페니트리움바이오,기타,KOSDAQ,nan,11210.0,-15.89,260.9,0.59,-40.0,True
187870,디바이스,기타,KOSDAQ,nan,20200.0,-28.71,-7.01,1.12,-47.3,True
189300,인텔리안테크,기타,KOSDAQ,nan,132700.0,-9.4,-1.32,0.91,-7.5,True
189330,씨이랩,기타,KOSDAQ,nan,6620.0,21.03,11.34,0.67,-32.4,True
189350,코셋,기타,KOSPI,nan,1794.0,11.92,-21.92,0.09,-19.4,True
