ticker,name,market,exchange,sector,industry,market_cap,cap
00104K,CJ Corp 4P Pref ,KOSPI,KO,Industrials,Conglomerates,5633197211648.0,LargeCap
001060,JW Pharmaceutical Corp.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,697429393408.0,MidCap
001065,JW Pharmaceutical Corp. Pfd. Series 1,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,651751849984.0,MidCap
001067,JW Pharmaceutical Corp. Pfd. Series 2,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,1297865244672.0,LargeCap
001080,Manho Rope&Wir,KOSPI,KO,Basic Materials,Steel,179929153536.0,SmallCap
001120,LG International Corp.,KOSDAQ,KQ,Industrials,Conglomerates,1627547631616.0,LargeCap
001130,Daehan Flour Mills Co Ltd,KOSPI,KO,Consumer Defensive,Packaged Foods,233289351168.0,MidCap
001200,Eugene Investment & Securities Co. Ltd.,KOSDAQ,KQ,Financial Services,Capital Markets,405469822976.0,MidCap
001230,Dongkuk Steel Mill Co Ltd,KOSPI,KO,Basic Materials,Steel,301684981760.0,MidCap
001250,GS Global Corp.,KOSDAQ,KQ,Industrials,Industrial Distribution,206650474496.0,MidCap
001260,Namkwang Engineering & Construction Co. Ltd.,KOSDAQ,KQ,Industrials,Engineering & Construction,83501572096.0,SmallCap
001270,Bookook Sec,KOSPI,KO,Financial Services,Capital Markets,657915576320.0,MidCap
001275,Bookook Securities Co Ltd,KOSPI,KO,Financial Services,Capital Markets,556105859072.0,MidCap
001290,Golden Bridge Investment & Securities Co. Ltd.,KOSDAQ,KQ,Financial Services,Capital Markets,114127364096.0,SmallCap
001340,Paik Kwang Ind,KOSPI,KO,Basic Materials,Specialty Chemicals,294474547200.0,MidCap
001360,Samsung Pharmaceutical Co. Ltd.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,166310559744.0,SmallCap
001380,SG Choongbang Co. Ltd.,KOSDAQ,KQ,Consumer Cyclical,Auto Parts,58992955392.0,SmallCap
001390,Kg Chemical,KOSPI,KO,Industrials,Conglomerates,334820507648.0,MidCap
001430,SeAH Besteel Corp.,KOSDAQ,KQ,Basic Materials,Steel,2309520621568.0,LargeCap
001440,Taihan Electric Wire Co. Ltd.,KOSDAQ,KQ,Industrials,Electrical Equipment & Parts,4960128335872.0,LargeCap
001450,Hyundai Marine & Fire Insurance Co. Ltd.,KOSDAQ,KQ,Financial Services,Insurance - Property & Casualty,2364197044224.0,LargeCap
001460,BYC Co. Ltd,KOSPI,KO,Consumer Cyclical,Apparel Manufacturing,381622845440.0,MidCap
001465,BYC Co Ltd,KOSPI,KO,Consumer Cyclical,Apparel Manufacturing,359392509952.0,MidCap
001500,Hyundai Motor Securities Co. Ltd.,KOSPI,KO,Financial Services,Capital Markets,613383798784.0,MidCap
001510,Sk Securities,KOSPI,KO,Financial Services,Asset Management,761587433472.0,MidCap
001515,SK Securities Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Financial Services,Asset Management,620769837056.0,MidCap
001520,Tongyang Inc.,KOSDAQ,KQ,Basic Materials,Building Materials,142990901248.0,SmallCap
001525,Tongyang Inc. Pfd. Series 1,KOSDAQ,KQ,Basic Materials,Building Materials,196570890240.0,SmallCap
001527,Tongyang Inc. Pfd. Series 2,KOSDAQ,KQ,Basic Materials,Building Materials,1525236236288.0,LargeCap
001530,Dong-Il Corp.,KOSDAQ,KQ,Consumer Cyclical,Textile Manufacturing,427085725696.0,MidCap
001550,Cho Bi,KOSPI,KO,Basic Materials,Agricultural Inputs,82238554112.0,SmallCap
001560,Cheil Grinding,KOSPI,KO,Industrials,Tools & Accessories,72871108608.0,SmallCap
001620,Dongkook Industrial Co. Ltd.,KOSDAQ,KQ,Consumer Cyclical,Auto Parts,68333920256.0,SmallCap
001630,Chongkundang,KOSPI,KO,Healthcare,Drug Manufacturers - Specialty & Generic,222318051328.0,MidCap
001680,Daesang Corp,KOSPI,KO,Consumer Defensive,Packaged Foods,716763103232.0,MidCap
001685,Daesang Corp Preference Shares,KOSPI,KO,Consumer Defensive,Packaged Foods,730721091584.0,MidCap
001720,Shinyoung Securities Co. Ltd.,KOSPI,KO,Financial Services,Capital Markets,1478380224512.0,LargeCap
001740,SK Networks Co Ltd,KOSPI,KO,Industrials,Conglomerates,954215366656.0,MidCap
001750,Hanyang Securities Co. Ltd.,KOSDAQ,KQ,Financial Services,Capital Markets,311212670976.0,MidCap
001755,Hanyang Securities Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Financial Services,Capital Markets,273932042240.0,MidCap
001780,Aluko Co Ltd,KOSPI,KO,Basic Materials,Aluminum,257083981824.0,MidCap
001790,TS Corp.,KOSDAQ,KQ,Consumer Defensive,Confectioners,251826388992.0,MidCap
001800,Orion Corp.,KOSDAQ,KQ,Consumer Defensive,Confectioners,1383602978816.0,LargeCap
001820,Samwha Capacitor Co. Ltd.,KOSDAQ,KQ,Technology,Electronic Components,532545896448.0,MidCap
001940,Kisco Holdings,KOSPI,KO,Basic Materials,Steel,309636300800.0,MidCap
002020,Kolon Corp.,KOSDAQ,KQ,Industrials,Conglomerates,886291365888.0,MidCap
002025,Kolon Corp. Pfd. Series 1,KOSDAQ,KQ,Industrials,Conglomerates,748093308928.0,MidCap
002030,Asia Cement,KOSPI,KO,Basic Materials,Building Materials,455810842624.0,MidCap
002100,Kyung Nong Corporation,KOSPI,KO,Basic Materials,Agricultural Inputs,167391772672.0,SmallCap
002140,Korea Industrial Co. Ltd.,KOSDAQ,KQ,Consumer Defensive,Packaged Foods,67106263040.0,SmallCap
002150,Dohwa Engineering Co. Ltd.,KOSDAQ,KQ,Industrials,Engineering & Construction,206434107392.0,MidCap
002170,Samyang Tongsang Co. Ltd.,KOSDAQ,KQ,Consumer Cyclical,Footwear & Accessories,159192006656.0,SmallCap
002200,Korea Export Packaging Industry Co. Ltd.,KOSDAQ,KQ,Consumer Cyclical,Packaging & Containers,100985020416.0,SmallCap
002220,Hanil Iron & Steel Co. Ltd.,KOSDAQ,KQ,Basic Materials,Steel,93396590592.0,SmallCap
002240,Kis Wire,KOSPI,KO,Basic Materials,Steel,555868553216.0,MidCap
002310,Asia Paper,KOSPI,KO,Basic Materials,Paper & Paper Products,330062757888.0,MidCap
002320,Hanjin Transportation Co. Ltd.,KOSPI,KO,Industrials,Integrated Freight & Logistics,281853624320.0,MidCap
002350,Nexen Tire Corp.,KOSDAQ,KQ,Consumer Cyclical,Auto Parts,734043504640.0,MidCap
